text,label
"Microservice A cannot talk to Microservice B",Important
"I'm hungry",Noise
"Please investigate the server logs",Important
"Let's brainstorm this afternoon",Noise
"Access denied for user 'admin'",Important
"Anyone seen my glasses?",Noise
"Syntax error in configuration file",Important
"I love this song",Noise
"Server 3 is overheating",Important
"Meeting in 5 minutes",Noise
"Data loss detected in backup",Important
"Can you hold the elevator?",Noise
"Network partition detected",Important
"I need a nap",Noise
"Too many open files",Important
"Did you finish the book?",Noise
"Zookeeper ensemble is unstable",Important
"Let's meet at the coffee shop",Noise
"Corrupt index in the database",Important
"I'm taking a half day",Noise
"Segmentation fault in the core dump",Important
"Have a good weekend!",Noise
"Endpoint not found",Important
"Are you coming to the party?",Noise
"Invalid signature on the JWT",Important
"I like your shirt",Noise
"Thread deadlock in the application",Important
"Can you review this non-urgent doc?",Noise
"System load is over 50.0",Important
"Anyone handle the office playlist?",Noise
"Request timed out after 30000ms",Important
"I spilled coffee on my desk",Noise
"Database went away",Important
"Who is the admin for the fantasy league?",Noise
"React is just a library not a framework right?",Noise
"Deploying the new plants to the window sill",Noise
"My AWS sticker fell off my laptop",Noise
"Is the 500 error code for server or client?",Noise
"I promise I won't break production lol",Noise
"Client is coming to visit the office next week",Noise
"I'm studying for my AWS solutions architect exam",Noise
"Laravel is written in PHP right?",Noise
"Can you check this merge request?",Noise
"Can you check this hotfix merge request?",Important
"Server is behaving weirdly",Important
"Im going to restart the server manually",Noise
"API is returning empty responses",Important
"I made a typo in the variable name",Noise
